Year,Global_Temp_Anomaly,,Rolling_Mean,Rolling_Std,Label_Scientific
1880,-0.17,,,,0
1881,-0.09,,,,0
1882,-0.11,,-0.166,0.07436397,0
1883,-0.18,,-0.2,0.107935166,0
1884,-0.28,,-0.246,0.097877474,0
1885,-0.34,,-0.296,0.071274119,0
1886,-0.32,,-0.296,0.071274119,0
1887,-0.36,,-0.262,0.110544109,0
1888,-0.18,,-0.266,0.114367828,0
1889,-0.11,,-0.248,0.110770032,0
1890,-0.36,,-0.232,0.095236548,0
1891,-0.23,,-0.26,0.096695398,0
1892,-0.28,,-0.3,0.048476799,0
1893,-0.32,,-0.274,0.042778499,0
1894,-0.31,,-0.252,0.081670068,0
1895,-0.23,,-0.22,0.097724101,0
1896,-0.12,,-0.212,0.08871302,0
1897,-0.12,,-0.186,0.069856997,0
1898,-0.28,,-0.158,0.075630682,0
1899,-0.18,,-0.168,0.072594766,0
1900,-0.09,,-0.202,0.083486526,0
1901,-0.17,,-0.222,0.113446022,0
1902,-0.29,,-0.282,0.156748206,0
1903,-0.38,,-0.318,0.117345643,0
1904,-0.48,,-0.33,0.100249688,0
1905,-0.27,,-0.35,0.100249688,0
1906,-0.23,,-0.36,0.106301458,0
1907,-0.39,,-0.362,0.109178753,0
1908,-0.43,,-0.398,0.100598211,0
1909,-0.49,,-0.442,0.036331804,0
1910,-0.45,,-0.438,0.043817805,0
1911,-0.45,,-0.424,0.056391489,0
1912,-0.37,,-0.358,0.118617031,0
1913,-0.36,,-0.298,0.135166564,0
1914,-0.16,,-0.282,0.116060329,0
1915,-0.15,,-0.302,0.140960988,0
1916,-0.37,,-0.292,0.137549991,0
1917,-0.47,,-0.316,0.117813412,0
1918,-0.31,,-0.342,0.08043631,0
1919,-0.28,,-0.306,0.102127371,0
1920,-0.28,,-0.27,0.046368092,0
1921,-0.19,,-0.262,0.040865633,0
1922,-0.29,,-0.262,0.040865633,0
1923,-0.27,,-0.25,0.043011626,0
1924,-0.28,,-0.234,0.07436397,0
1925,-0.22,,-0.22,0.067453688,0
1926,-0.11,,-0.206,0.061481705,0
1927,-0.22,,-0.222,0.089554453,0
1928,-0.2,,-0.21,0.093808315,0
1929,-0.36,,-0.206,0.099398189,0
1930,-0.16,,-0.194,0.100895986,0
1931,-0.09,,-0.212,0.109863552,0
1932,-0.16,,-0.166,0.075033326,0
1933,-0.29,,-0.174,0.076354437,0
1934,-0.13,,-0.186,0.063482281,1
1935,-0.2,,-0.16,0.09539392,0
1936,-0.15,,-0.102,0.084083292,1
1937,-0.03,,-0.08,0.089162773,0
1938,0,,-0.016,0.096072889,0
1939,-0.02,,0.05,0.094339811,0
1940,0.12,,0.068,0.083186537,0
1941,0.18,,0.086,0.074027022,0
1942,0.06,,0.13,0.059160798,0
1943,0.09,,0.124,0.061886994,0
1944,0.2,,0.074,0.096591925,0
1945,0.09,,0.056,0.107610408,0
1946,-0.07,,0.016,0.127200629,0
1947,-0.03,,-0.046,0.082945765,0
1948,-0.11,,-0.098,0.052153619,0
1949,-0.11,,-0.098,0.052153619,0
1950,-0.17,,-0.09,0.066332496,0
1951,-0.07,,-0.052,0.09859006,0
1952,0.01,,-0.056,0.101882285,0
1953,0.08,,-0.05,0.094074439,0
1954,-0.13,,-0.074,0.113710158,0
1955,-0.14,,-0.066,0.122188379,0
1956,-0.19,,-0.07,0.116404467,0
1957,0.05,,-0.038,0.117770964,0
1958,0.06,,-0.014,0.103101891,0
1959,0.03,,0.036,0.033615473,0
1960,-0.02,,0.032,0.032710854,0
1961,0.06,,0.03,0.03082207,0
1962,0.03,,-0.016,0.107377838,0
1963,0.05,,-0.034,0.115455619,0
1964,-0.2,,-0.058,0.102810505,0
1965,-0.11,,-0.068,0.094180677,0
1966,-0.06,,-0.094,0.067675697,0
1967,-0.02,,-0.044,0.061886994,0
1968,-0.08,,-0.016,0.055946403,0
1969,0.05,,-0.02,0.06041523,0
1970,0.03,,-0.014,0.061886994,0
1971,-0.08,,0.034,0.086197448,0
1972,0.01,,0.01,0.096695398,0
1973,0.16,,0.002,0.096280839,0
1974,-0.07,,-0.002,0.100846418,0
1975,-0.01,,0.032,0.130268953,0
1976,-0.1,,0.014,0.11326959,0
1977,0.18,,0.06,0.117260394,0
1978,0.07,,0.112,0.134796142,0
1979,0.16,,0.196,0.094498677,0
1980,0.25,,0.188,0.097826377,0
1981,0.32,,0.236,0.083246622,0
1982,0.14,,0.234,0.085615419,0
1983,0.31,,0.208,0.098336158,0
1984,0.15,,0.18,0.075828754,0
1985,0.12,,0.216,0.092897793,0
1986,0.18,,0.232,0.116918775,0
1987,0.32,,0.256,0.107842478,0
1988,0.39,,0.322,0.104737768,0
1989,0.27,,0.366,0.070922493,0
1990,0.45,,0.346,0.096591925,0
1991,0.4,,0.314,0.10454664,0
1992,0.22,,0.322,0.101833197,0
1993,0.23,,0.32,0.098742088,0
1994,0.31,,0.306,0.089050547,0
1995,0.44,,0.354,0.095551033,0
1996,0.33,,0.43,0.120208153,0
1997,0.46,,0.444,0.105971694,0
1998,0.61,,0.434,0.108765803,1
1999,0.38,,0.474,0.097108187,0
2000,0.39,,0.506,0.115887877,0
2001,0.53,,0.506,0.115887877,0
2002,0.62,,0.536,0.092086915,0
2003,0.61,,0.594,0.064265076,0
2004,0.53,,0.616,0.055045436,0
2005,0.68,,0.624,0.058566202,0
2006,0.64,,0.61,0.07,0
2007,0.66,,0.634,0.054589376,0
2008,0.54,,0.642,0.064961527,0
2009,0.65,,0.636,0.066558245,0
2010,0.72,,0.632,0.065345237,0
2011,0.61,,0.658,0.040865633,0
2012,0.64,,0.678,0.057183914,0
2013,0.67,,0.712,0.112338773,0
2014,0.75,,0.792,0.155627761,0
2015,0.89,,0.846,0.13520355,0
2016,1.01,,0.882,0.094445752,0
2017,0.91,,0.928,0.065726707,1
2018,0.85,,0.952,0.070142712,0
2019,0.98,,0.92,0.073484692,0
2020,1.01,,0.916,0.074699398,1
2021,0.85,,0.98,0.124498996,0
2022,0.89,,1.04,0.183030052,0
2023,1.17,,1.076,0.193080294,0
2024,1.28,,,,0
2025,1.19,,,,0
